"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","D-2","PA14","PAO1","SF416"
"QLX61_RS20635","","","4","4","1","1","823","","","","338","338","338","NNL25_RS20525","PA14_50720","PA1055","QLX61_RS20635"
"NNL25_RS11035","","","4","4","1","1","4783","","","","482","482","482","NNL25_RS11035","PA14_27950","PA2797","QLX61_RS11070"
"QLX61_RS07160","","","4","4","1","1","5637","","","","677","779","728","NNL25_RS07150","PA14_18210","PA3564","QLX61_RS07160"
"lecA","","","4","4","1","1","4460","","","","368","368","368","NNL25_RS12740","PA14_31290","PA2570","QLX61_RS12660"
"QLX61_RS27780","","","4","4","1","1","1735","","","","968","968","968","NNL25_RS27825","PA14_69140","PA5236","QLX61_RS27780"
"ldhA","","","4","4","1","1","735","","","","989","989","989","NNL25_RS21365","PA14_52270","PA0927","QLX61_RS21300"
"mltD","","","4","4","1","1","466","","","","1604","1604","1604","NNL25_RS16580","PA14_41090","PA1812","QLX61_RS16810"
"PA14_04960","","","4","4","1","1","6748","","","","377","377","377","NNL25_RS01880","PA14_04960","PA0379","QLX61_RS02010"
"asd","","","4","4","1","1","5124","","","","1112","1112","1112","NNL25_RS09355","PA14_23800","PA3117","QLX61_RS09390"
"PA14_50770","","","4","4","1","1","828","","","","1358","1358","1358","NNL25_RS20550","PA14_50770","PA1051","QLX61_RS20660"
"PA3310","","","4","4","1","1","5394","","","","1655","1655","1655","NNL25_RS08340","PA14_21210","PA3310","QLX61_RS08375"
"clpX","","","4","4","1","1","455","","","","1280","1280","1280","NNL25_RS16635","PA14_41230","PA1802","QLX61_RS16865"
"PA1464","","","4","4","1","1","2891","","","","479","479","479","NNL25_RS18385","PA14_45500","PA1464","QLX61_RS19035"
"pfkB","","","4","4","1","1","5634","","","","944","944","944","NNL25_RS07165","PA14_18260","PA3561","QLX61_RS07175"
"NNL25_RS01185","","","4","4","1","1","1206","","","","815","815","815","NNL25_RS01185","PA14_02960","PA0238","QLX61_RS01275"
"fabH2","","","4","4","1","1","5417","","","","992","992","992","NNL25_RS08225","PA14_20950","PA3333","QLX61_RS08260"
"QLX61_RS02205","","","4","4","1","1","6709","","","","611","611","611","NNL25_RS02075","PA14_05430","PA0417","QLX61_RS02205"
"NNL25_RS28350","","","4","4","1","1","1629","","","","380","380","380","NNL25_RS28350","PA14_70480","PA5339","QLX61_RS28305"
"thiD","","","4","4","1","1","6106","","","","797","797","797","NNL25_RS05045","PA14_12410","PA3975","QLX61_RS05030"
"PA14_34450","","","4","4","1","1","4154","","","","905","905","905","NNL25_RS13980","PA14_34450","PA2332","QLX61_RS14010"
"nqrE","","","4","4","1","1","4995","","","","608","608","608","NNL25_RS09970","PA14_25340","PA2995","QLX61_RS10005"
"ccmD","","","4","4","1","1","2822","","","","176","176","176","NNL25_RS18320","PA14_45340","PA1478","QLX61_RS18965"
"pscY","","","4","4","1","1","2627","","","","329","329","329","NNL25_RS17160","PA14_42510","PA1702","QLX61_RS17390"
"QLX61_RS28275","","","4","4","1","1","1635","","","","371","371","371","NNL25_RS28320","PA14_70400","PA5333","QLX61_RS28275"
"PA3536","","","4","4","1","1","5609","","","","431","467","449","NNL25_RS07290","PA14_18620","PA3536","QLX61_RS07300"
"PA3249","","","4","4","1","1","5325","","","","716","716","716","NNL25_RS08690","PA14_21970","PA3249","QLX61_RS08730"
"speD","","","4","4","1","1","2221","","","","482","482","482","NNL25_RS25435","PA14_63110","PA4773","QLX61_RS25285"
"rnk","","","4","4","1","1","1696","","","","404","404","404","NNL25_RS28020","PA14_69630","PA5274","QLX61_RS27975"
"iscR","","","4","4","1","1","5925","","","","491","491","491","NNL25_RS05865","PA14_14710","PA3815","QLX61_RS05860"
"QLX61_RS09860","","","4","4","1","1","5024","","","","1559","1559","1559","NNL25_RS09825","PA14_24960","PA3024","QLX61_RS09860"
"QLX61_RS07775","","","4","4","1","1","5514","","","","743","743","743","NNL25_RS07755","PA14_19800","PA3423","QLX61_RS07775"
"PA14_26330","","","4","4","1","1","4915","","","","836","836","836","NNL25_RS10375","PA14_26330","PA2917","QLX61_RS10410"
"nadA","","","4","4","1","1","880","","","","1058","1058","1058","NNL25_RS20805","PA14_51330","PA1004","QLX61_RS20915"
"QLX61_RS24590","","","4","4","1","1","3423","","","","548","548","548","NNL25_RS24665","PA14_61500","PA4648","QLX61_RS24590"
"QLX61_RS13620","","","4","4","1","1","4238","","","","905","905","905","NNL25_RS13595","PA14_33540","PA2409","QLX61_RS13620"
"tsi3","","","4","4","1","1","5578","","","","437","437","437","NNL25_RS07445","PA14_19010","PA3485","QLX61_RS07455"
"group_2310","dksA","","4","4","1","1","2273","","","","446","446","446","NNL25_RS25170","PA14_62490","PA4723","QLX61_RS25020"
"QLX61_RS04345","","","4","4","1","1","6240","","","","398","398","398","NNL25_RS04360","PA14_10780","PA4111","QLX61_RS04345"
"ndhC","","","4","4","1","1","542","","","","398","398","398","NNL25_RS16215","PA14_40160","PA1883","QLX61_RS16445"
"PA3330","","","4","4","1","1","5414","","","","914","914","914","NNL25_RS08240","PA14_20980","PA3330","QLX61_RS08275"
"ccoS","","","4","4","1","1","2785","","","","209","209","209","NNL25_RS17960","PA14_44450","PA1548","QLX61_RS18190"
"PA14_06250","","","4","4","1","1","6646","","","","476","476","476","NNL25_RS02375","PA14_06250","PA0478","QLX61_RS02515"
"PA5494","","","4","4","1","1","1469","","","","290","290","290","NNL25_RS29155","PA14_72500","PA5494","QLX61_RS29110"
"PA14_33510","","","4","4","1","1","4241","","","","218","218","218","NNL25_RS13580","PA14_33510","PA2412","QLX61_RS13605"
"napD","","","4","4","1","1","2476","","","","329","329","329","NNL25_RS19855","PA14_49230","PA1175","QLX61_RS20015"
"PA4703","","","4","4","1","1","2293","","","","272","272","272","NNL25_RS25070","PA14_62250","PA4703","QLX61_RS24920"
"QLX61_RS07535","","","4","4","1","1","5562","","","","542","542","542","NNL25_RS07525","PA14_19210","PA3469","QLX61_RS07535"
"cysM","","","4","4","1","1","739","","","","899","899","899","NNL25_RS21340","PA14_52210","PA0932","QLX61_RS21275"
"exbB1","","","4","4","1","1","1166","","","","719","719","719","NNL25_RS01015","PA14_02500","PA0198","QLX61_RS01105"
"NNL25_RS21650","","","4","4","1","1","3204","","","","266","266","266","NNL25_RS21650","PA14_52960","PA0874","QLX61_RS21585"
"QLX61_RS19795","","","4","4","1","1","3116","","","","614","614","614","NNL25_RS19635","PA14_48550","PA1219","QLX61_RS19795"
"PA0446","","","4","4","1","1","6682","","","","1223","1223","1223","NNL25_RS02210","PA14_05820","PA0446","QLX61_RS02340"
"aqpZ","","","4","4","1","1","6165","","","","689","689","689","NNL25_RS04755","PA14_11660","PA4034","QLX61_RS04740"
"NNL25_RS07500","","","4","4","1","1","5567","","","","860","860","860","NNL25_RS07500","PA14_19150","PA3474","QLX61_RS07510"
"QLX61_RS18555","","","4","4","1","1","2509","","","","1547","1547","1547","NNL25_RS19065","PA14_47040","PA1331","QLX61_RS18555"
"NNL25_RS20480","","","4","4","1","1","814","","","","665","665","665","NNL25_RS20480","PA14_50630","PA1064","QLX61_RS20590"
"PA4139","","","4","4","1","1","6268","","","","299","299","299","NNL25_RS04220","PA14_10380","PA4139","QLX61_RS04205"
"QLX61_RS07635","","","4","4","1","1","5543","","","","209","209","209","NNL25_RS07615","PA14_19480","PA3451","QLX61_RS07635"
"trxA","","","4","4","1","1","1731","","","","326","326","326","NNL25_RS27845","PA14_69200","PA5240","QLX61_RS27800"
"QLX61_RS24355","","","4","4","1","1","3471","","","","203","203","203","NNL25_RS24430","PA14_60930","PA4605","QLX61_RS24355"
"rplM","","","4","4","1","1","3688","","","","428","428","428","NNL25_RS23535","PA14_57590","PA4433","QLX61_RS23455"
"QLX61_RS00695","","","4","4","1","1","1081","","","","452","452","452","NNL25_RS00605","PA14_01400","PA0115","QLX61_RS00695"
"NNL25_RS19565","","","4","4","1","1","3098","","","","257","257","257","NNL25_RS19565","PA14_48330","PA1233","QLX61_RS19725"
"cpxR","","","4","4","1","1","5255","","","","677","677","677","NNL25_RS08915","PA14_22760","PA3204","QLX61_RS08955"
"dhcA","","","4","4","1","1","349","","","","698","698","698","NNL25_RS15640","PA14_38660","PA1999","QLX61_RS15865"
"nagZ","","","4","4","1","1","5005","","","","998","998","998","NNL25_RS09920","PA14_25195","PA3005","QLX61_RS09955"
"QLX61_RS23880","","","4","4","1","1","3601","","","","425","425","425","NNL25_RS23960","PA14_58620","PA4518","QLX61_RS23880"
"PA14_11720","","","4","4","1","1","6160","","","","665","665","665","NNL25_RS04780","PA14_11720","PA4029","QLX61_RS04765"
"pslJ","","","4","4","1","1","37","","","","1436","1436","1436","NNL25_RS14440","PA14_35630","PA2240","QLX61_RS14465"
"PA14_20070","","","4","4","1","1","5492","","","","485","485","485","NNL25_RS07865","PA14_20070","PA3403","QLX61_RS07885"
"group_2342","dctP","","4","4","1","1","1807","","","","995","995","995","NNL25_RS27455","PA14_68260","PA5167","QLX61_RS27415"
"PA14_12300","","","4","4","1","1","6114","","","","839","839","839","NNL25_RS05005","PA14_12300","PA3983","QLX61_RS04990"
"fabA","","","4","4","1","1","2721","","","","515","515","515","NNL25_RS17635","PA14_43680","PA1610","QLX61_RS17865"
"hda","","","4","4","1","1","755","","","","704","704","704","NNL25_RS21260","PA14_52010","PA0947","QLX61_RS21195"
"olsB","","","4","4","1","1","3773","","","","755","755","755","NNL25_RS23105","PA14_56560","PA4350","QLX61_RS23025"
"lptB","","","4","4","1","1","3660","","","","725","725","725","NNL25_RS23675","PA14_57930","PA4461","QLX61_RS23595"
"fliM","","","4","4","1","1","2912","","","","971","971","971","NNL25_RS18490","PA14_45800","PA1443","QLX61_RS19140"
"greB","","","4","4","1","1","4856","","","","506","506","506","NNL25_RS10665","PA14_27130","PA2859","QLX61_RS10700"
"NNL25_RS07805","","","4","4","1","1","5504","","","","584","584","584","NNL25_RS07805","PA14_19940","PA3414","QLX61_RS07825"
"PA14_41880","","","4","4","1","1","2576","","","","497","497","497","NNL25_RS16905","PA14_41880","PA1753","QLX61_RS17135"
"QLX61_RS05745","","","4","4","1","1","5955","","","","890","890","890","NNL25_RS05730","PA14_14380","PA3837","QLX61_RS05745"
"phuU","","","4","4","1","1","2289","","","","983","983","983","NNL25_RS25090","PA14_62290","PA4707","QLX61_RS24940"
"motB","","","4","4","1","1","2026","","","","1043","1043","1043","NNL25_RS26355","PA14_65430","PA4953","QLX61_RS26250"
"vfr","","","4","4","1","1","6433","","","","644","644","644","NNL25_RS03385","PA14_08370","PA0652","QLX61_RS03370"
"PA1767","","","4","4","1","1","2562","","","","1526","1526","1526","NNL25_RS16835","PA14_41710","PA1767","QLX61_RS17065"
"PA14_42780","","","4","4","1","1","2651","","","","779","779","779","NNL25_RS17280","PA14_42780","PA1679","QLX61_RS17510"
"QLX61_RS24915","","","4","4","1","1","2294","","","","347","347","347","NNL25_RS25065","PA14_62240","PA4702","QLX61_RS24915"
"nuoK","","","4","4","1","1","4566","","","","308","308","308","NNL25_RS11890","PA14_29890","PA2646","QLX61_RS12260"
"pscS","","","4","4","1","1","2637","","","","266","266","266","NNL25_RS17210","PA14_42630","PA1692","QLX61_RS17440"
"PA14_19970","","","4","4","1","1","5501","","","","218","218","218","NNL25_RS07820","PA14_19970","PA3411","QLX61_RS07840"
"QLX61_RS19160","","","4","4","1","1","2916","","","","407","407","407","NNL25_RS18510","PA14_45850","PA1439","QLX61_RS19160"
"NNL25_RS08200","","","4","4","1","1","5422","","","","290","290","290","NNL25_RS08200","PA14_20880","PA3338","QLX61_RS08235"
"NNL25_RS28160","","","4","4","1","1","1668","","","","548","548","548","NNL25_RS28160","PA14_69980","PA5301","QLX61_RS28115"
"QLX61_RS29275","","","4","4","1","1","1436","","","","212","212","212","NNL25_RS29315","PA14_72900","PA5526","QLX61_RS29275"
"QLX61_RS24440","","","4","4","1","1","3455","","","","539","539","539","NNL25_RS24515","PA14_61140","PA4620","QLX61_RS24440"
"QLX61_RS26880","","","4","4","1","1","1898","","","","1577","1577","1577","NNL25_RS26990","PA14_67090","PA5078","QLX61_RS26880"
"NNL25_RS27930","","","4","4","1","1","1714","","","","491","491","491","NNL25_RS27930","PA14_69400","PA5256","QLX61_RS27885"
"QLX61_RS02830","","","4","4","1","1","6580","","","","458","458","458","NNL25_RS02705","PA14_07030","PA0541","QLX61_RS02830"
"hcp3","","","4","4","1","1","4188","","","","497","497","497","NNL25_RS13805","PA14_34030","PA2367","QLX61_RS13835"
"phoQ","","","4","4","1","1","2481","","","","1346","1346","1346","NNL25_RS19830","PA14_49170","PA1180","QLX61_RS19990"
"NNL25_RS07950","","","4","4","1","1","5475","","","","365","365","365","NNL25_RS07950","PA14_20280","PA3386","QLX61_RS07970"
"nrdA","","","4","4","1","1","2457","","","","2891","2891","2891","NNL25_RS19950","PA14_49460","PA1156","QLX61_RS20110"
"PA14_26780","","","4","4","1","1","4881","","","","167","167","167","NNL25_RS10545","PA14_26780","PA2883","QLX61_RS10580"
"PA14_46950","","","4","4","1","1","2501","","","","734","734","734","NNL25_RS19025","PA14_46950","PA1339","QLX61_RS18515"
"QLX61_RS14085","","","4","4","1","1","4139","","","","1298","1298","1298","NNL25_RS14055","PA14_34680","PA2317","QLX61_RS14085"
"PA14_22980","","","4","4","1","1","5240","","","","1262","1262","1262","NNL25_RS08995","PA14_22980","PA3190","QLX61_RS09035"
"rpmE","","","4","4","1","1","1927","","","","215","215","215","NNL25_RS26845","PA14_66710","PA5049","QLX61_RS26735"
"folX","","","4","4","1","1","5530","","","","371","371","371","NNL25_RS07680","PA14_19620","PA3439","QLX61_RS07700"
"PA14_11680","","","4","4","1","1","6163","","","","716","716","716","NNL25_RS04765","PA14_11680","PA4032","QLX61_RS04750"
"pvdS","","","4","4","1","1","4264","","","","563","563","563","NNL25_RS13475","PA14_33260","PA2426","QLX61_RS13505"
"nfuA","","","4","4","1","1","503","","","","584","584","584","NNL25_RS16400","PA14_40630","PA1847","QLX61_RS16630"
"phnP","","","4","4","1","1","5461","","","","770","770","770","NNL25_RS08020","PA14_20450","PA3372","QLX61_RS08040"
"algA","","","4","4","1","1","5624","","","","1445","1445","1445","NNL25_RS07215","PA14_18380","PA3551","QLX61_RS07225"
"rplR","","","4","4","1","1","6378","","","","350","350","350","NNL25_RS03680","PA14_09010","PA4247","QLX61_RS03665"
"mdtD","","","4","4","1","1","6669","","","","1433","1433","1433","NNL25_RS02270","PA14_05990","PA0458","QLX61_RS02405"
"gltR","","","4","4","1","1","5242","","","","728","728","728","NNL25_RS08980","PA14_22940","PA3192","QLX61_RS09020"
"QLX61_RS18675","","","4","4","1","1","2533","","","","773","773","773","NNL25_RS19185","PA14_47330","PA1307","QLX61_RS18675"
"group_2385","ccoG","","4","4","1","1","2782","","","","1415","1415","1415","NNL25_RS17945","PA14_44420","PA1551","QLX61_RS18175"
"aspS","","","4","4","1","1","773","","","","1775","1775","1775","NNL25_RS21175","PA14_51820","PA0963","QLX61_RS21110"
"bifA","","","4","4","1","1","3756","","","","2063","2063","2063","NNL25_RS23195","PA14_56790","PA4367","QLX61_RS23115"
"sbp","","","4","4","1","1","6848","","","","998","998","998","NNL25_RS01380","PA14_03700","PA0283","QLX61_RS01510"
"pbpA","","","4","4","1","1","6133","","","","1940","1940","1940","NNL25_RS04910","PA14_12060","PA4003","QLX61_RS04895"
"NNL25_RS08025","","","4","4","1","1","5460","","","","185","185","185","NNL25_RS08025","PA14_20460","PA3371","QLX61_RS08045"
"rpsR","","","4","4","1","1","2048","","","","230","230","230","NNL25_RS26250","PA14_65170","PA4934","QLX61_RS26145"
"PA5461","","","4","4","1","1","1502","","","","317","317","317","NNL25_RS28995","PA14_72070","PA5461","QLX61_RS28950"
"lolB","","","4","4","1","1","3403","","","","617","617","617","NNL25_RS24765","PA14_61740","PA4668","QLX61_RS24690"
"PA14_16550","","","4","4","1","1","5775","","","","713","713","713","NNL25_RS06465","PA14_16550","PA3699","QLX61_RS06480"
"adk","","","4","4","1","1","5762","","","","647","647","647","NNL25_RS06530","PA14_16700","PA3686","QLX61_RS06545"
"rmf","","","4","4","1","1","5051","","","","212","212","212","NNL25_RS09695","PA14_24650","PA3049","QLX61_RS09730"
"PA0359","","","4","4","1","1","6769","","","","344","344","344","NNL25_RS01775","PA14_04690","PA0359","QLX61_RS01905"
"PA14_00240","","","4","4","1","1","985","","","","557","557","557","NNL25_RS00110","PA14_00240","PA0022","QLX61_RS00145"
"QLX61_RS03130","","","4","4","1","1","6482","","","","1271","1271","1271","NNL25_RS03150","PA14_07660","PA0587","QLX61_RS03130"
"group_2399","phnE","","4","4","1","1","5471","","","","794","794","794","NNL25_RS07970","PA14_20330","PA3382","QLX61_RS07990"
"tagH","","","4","4","1","1","1046","","","","542","1535","1270","NNL25_RS00435","PA14_00970","PA0081","QLX61_RS00525"
"NNL25_RS08030","","","4","4","1","1","5459","","","","146","146","146","NNL25_RS08030","PA14_20470","PA3370","QLX61_RS08050"
"icd","","","4","4","1","1","4542","","","","1256","1256","1256","NNL25_RS12005","PA14_30190","PA2623","QLX61_RS12375"
"PA1640","","","4","4","1","1","2691","","","","1037","1037","1037","NNL25_RS17485","PA14_43300","PA1640","QLX61_RS17715"
"pcrR","","","4","4","1","1","2625","","","","434","434","434","NNL25_RS17150","PA14_42490","PA1704","QLX61_RS17380"
"NNL25_RS28990","","","4","4","1","1","1503","","","","212","212","212","NNL25_RS28990","PA14_72060","PA5460","QLX61_RS28945"
"fpvI","","","4","4","1","1","4213","","","","479","479","479","NNL25_RS13700","PA14_33800","PA2387","QLX61_RS13730"
"nuoA","","","4","4","1","1","4556","","","","413","413","413","NNL25_RS11935","PA14_30020","PA2637","QLX61_RS12305"
"PA0537","","","4","4","1","1","6584","","","","608","608","608","NNL25_RS02685","PA14_06990","PA0537","QLX61_RS02810"
"fadB","","","4","4","1","1","5014","","","","2147","2147","2147","NNL25_RS09875","PA14_25080","PA3014","QLX61_RS09910"
"NNL25_RS27005","","","4","4","1","1","1895","","","","476","476","476","NNL25_RS27005","PA14_67120","PA5081","QLX61_RS26895"
"ilvI","","","4","4","1","1","2300","","","","1724","1724","1724","NNL25_RS25035","PA14_62160","PA4696","QLX61_RS24880"
"QLX61_RS08055","","","4","4","1","1","5458","","","","278","278","278","NNL25_RS08035","PA14_20480","PA3369","QLX61_RS08055"
"mtlR","","","4","4","1","1","4158","","","","905","905","905","NNL25_RS13955","PA14_34440","PA2337","QLX61_RS13985"
"PA14_08380","","","4","4","1","1","6432","","","","422","422","422","NNL25_RS03390","PA14_08380","PA0653","QLX61_RS03375"
"QLX61_RS06000","","","4","4","1","1","5897","","","","848","848","848","NNL25_RS06005","PA14_15100","PA3787","QLX61_RS06000"
"feoA","","","4","4","1","1","3764","","","","227","227","227","NNL25_RS23150","PA14_56690","PA4359","QLX61_RS23070"
"rbsC","","","4","4","1","1","401","","","","998","998","998","NNL25_RS15900","PA14_39320","PA1948","QLX61_RS16125"
